ORIGIN_SUBZONE,distance_bin,COUNT
1103052.0,7.0,20892.68060149548
1103052.0,8.0,13512.518724883468
1103052.0,9.0,13625.208690266589
1103052.0,10.0,8516.029812503559
1103052.0,11.0,10953.867762926793
1103052.0,12.0,4957.632439016461
1103052.0,13.0,6190.836998465135
1103052.0,14.0,2567.951182355172
1103052.0,15.0,951.9036798731183
1103052.0,16.0,580.4894800038958
1103053.0,0.0,92004.88389095638
1103053.0,1.0,190637.13460331564
1103053.0,2.0,92252.94597145997
1103053.0,3.0,54885.739843725234
1103053.0,4.0,55501.99688870562
1103053.0,5.0,45724.502649362825
1103053.0,6.0,36410.73227777739
1103053.0,7.0,51904.99744247849
1103053.0,8.0,39110.75130371075
1103053.0,9.0,28732.43455659284
1103053.0,10.0,24256.067806959407
1103053.0,11.0,19797.43032489988
1103053.0,12.0,17667.22767718165
1103053.0,13.0,12460.085927416703
1103053.0,14.0,10086.707703601493
1103053.0,15.0,4777.935740634261
1103053.0,16.0,962.7228912137616
1103057.0,0.0,62577.688517683986
1103057.0,1.0,143281.76881551763
1103057.0,2.0,85369.88391869339
1103057.0,3.0,43745.669559032
1103057.0,4.0,40689.43569963383
1103057.0,5.0,36054.00409967004
1103057.0,6.0,25264.378037903825
1103057.0,7.0,28407.03593334043
1103057.0,8.0,25852.671702196414
1103057.0,9.0,20948.520994640192
1103057.0,10.0,9920.403696501378
1103057.0,11.0,12252.409463514832
1103057.0,12.0,6466.20131647184
1103057.0,13.0,6262.0181617133985
1103057.0,14.0,6413.159701163905
1103057.0,15.0,5463.0051094867285
1103057.0,16.0,3311.7863733422473
1103057.0,17.0,1802.1171912205905
1103057.0,18.0,279.9784077455422
1103058.0,0.0,99914.7620218655
1103058.0,1.0,57500.91390398113
1103058.0,2.0,21578.766932835635
1103058.0,3.0,24928.77143099723
1103058.0,4.0,14011.701290838262
1103058.0,5.0,16234.929563284164
1103058.0,6.0,11057.933018277212
1103058.0,7.0,12186.743980699708
1103058.0,8.0,11636.724255308976
1103058.0,9.0,7879.29277993907
1103058.0,10.0,7186.043027394764
1103058.0,11.0,4255.908169972849
1103058.0,12.0,4341.830177799871
1103058.0,13.0,2826.602998893965
1103058.0,14.0,2654.079569252175
1103058.0,15.0,1239.0147135363293
1103058.0,16.0,696.7819873755078
1103058.0,17.0,240.64026448409393
1103059.0,0.0,81551.27670426393
1103059.0,1.0,122623.08458914272
1103059.0,2.0,38997.95749975671
1103059.0,3.0,28948.272194882615
1103059.0,4.0,26950.73428694878
1103059.0,5.0,18789.94683256019
1103059.0,6.0,14399.474955929314
1103059.0,7.0,20314.554188504702
1103059.0,8.0,12019.45304781862
1103059.0,9.0,9925.936246597943
1103059.0,10.0,8716.722427549292
1103059.0,11.0,5606.9807585934295
1103059.0,12.0,5452.314262435466
1103059.0,13.0,2790.8490487835734
1103059.0,14.0,3010.7569955982353
1103059.0,15.0,3064.519353354019
1103059.0,16.0,1154.398331776113
1103059.0,17.0,351.0355984701076
1103063.0,1.0,245580.74898681717
1103063.0,2.0,86608.87326060506
1103063.0,3.0,117200.64140855512
1103063.0,4.0,66826.34618823921
1103063.0,5.0,91142.52046336565
