Zone,Uniform_CPC,Uniform_R2,Weighted_CPC,Weighted_R2,RadPop_CPC,RadPop_R2,RadPOI_CPC,RadPOI_R2,Power_CPC,Power_R2,Exp_CPC,Exp_R2
SRSZ03,0.4734284210544986,0.2691279372634485,0.527034225077332,0.5474349345879899,0.11818884314154675,-9.05907317253886,0.25319634519618867,-3.058963477295908,0.497363584629445,0.4124359744850238,0.46526467443268643,0.39340653289221583
BMSZ08,0.6313067015010274,0.5293696578257201,0.711137964069533,0.65083614329849,0.31846538871371327,-8.925646668640091,0.3633379975951485,-16.245055916266,0.6924171849666857,0.6212364552578538,0.5713893513859643,0.25420149029822414
BMSZ03,0.5210241807254734,0.28570074533909995,0.5942009195314575,0.3784054104387493,0.054236056131681316,-46.28901237974543,0.3343373504827702,-5.028681687018599,0.5571420110478389,0.28168119387983803,0.479258549682161,0.0648138599914323
BMSZ07,0.7117121509670206,0.794652612378582,0.7093460496523575,0.7049680428746714,0.3545101130376901,-9.473626622890105,0.37370327678819076,-6.684532331955971,0.6963512907806301,0.7056734169280559,0.6066590159282339,0.540540055917396
BMSZ09,0.6806681183982427,0.5646844943141539,0.6978550814606568,0.39744199715882456,0.32718678791474104,-10.403975850875465,0.2817281787185407,-21.876073346360215,0.6966727109568301,0.45649708526687105,0.6187954463992311,0.2609240600574625
SRSZ02,0.5183565996294184,0.22462826849852413,0.6501703776268969,0.5636734461046298,0.08675312298866311,-19.68924039343201,0.1637311027015787,-21.801125403815327,0.5145857872464846,-0.3895685053618174,0.5599481484121155,0.3730656127272549
BMSZ15,0.651934555910138,0.5182881692663477,0.7250689330841938,0.7799582835019192,0.15665919467872957,-11.275058838094335,0.3371548292748359,-6.090409815357691,0.6801507231326018,0.6990461801180603,0.5631335851385797,0.3883855892042467
DTSZ09,0.4358619261979129,0.17793575865786748,0.5572627546458419,0.32312036713237446,0.05509449855298797,-14.44280863910067,0.15541916473624015,-5.65078063549069,0.3592660845085975,-2.1008240141509895,0.4320709384294625,0.05272948099363306
BMSZ16,0.6010657595279697,0.37444652586272353,0.6077458792327931,0.24004423434914213,0.06478833081229242,-47.74291981555025,0.18708182332615636,-13.233700477884963,0.5867266269126085,-0.5805065973174164,0.5571885698453096,0.13669885805426618
BMSZ14,0.6073971111948174,0.49607358705683957,0.651083638881576,0.45447517389857905,0.07498629550042377,-32.75944761755809,0.36457153598964337,-10.051253892039817,0.6317999605655344,0.4392790996544852,0.5154350360109441,0.15114865656119258
DTSZ07,0.24699926334627004,0.18377682256077776,0.44849496534599226,0.5286731226020045,0.0909924908296401,-1.0583396244949101,0.41604279372092584,-0.4617949850757719,0.5006105260380331,0.5066653186148757,0.3110030380341886,0.2745074889059358
DTSZ08,0.5686441842421023,0.28701585917227934,0.6690651100226831,0.603054504785888,0.019945409329345017,-64.87245320796039,0.20520025725174204,-13.98669924080843,0.5239822583181734,-1.8428995367799286,0.6254261753723092,0.4562872124433097
BMSZ11,0.617960634726436,0.34195698948100095,0.6296190205699682,0.03957676864717952,0.15008815390170116,-12.080992816164379,0.2169355502195354,-14.725217656028754,0.6180496114624492,0.19306484497987808,0.5154945902827032,0.014435986857762595
BMSZ13,0.6901224681070875,0.6545458926240311,0.7502104433280113,0.8767065927699725,0.4720707831329223,-2.487411241459198,0.44938437156583677,-3.4751945491193794,0.7289152266967929,0.8642898823709811,0.6213138852027325,0.6769613154669777
QTSZ14,0.6921745025335712,0.6376192887422343,0.6745177046262757,0.39179284079845833,0.2896185371371113,-19.44015339551828,0.34180435977597345,-15.770275231051567,0.6369049456083906,0.0029443672901412477,0.5999472055975359,0.26491222507418777
QTSZ13,0.5983644412504958,0.6038241760838526,0.6448274083822625,0.598816817180088,0.2547723839995735,-14.544436725751817,0.2620430315253874,-19.10330923132795,0.5633355994726331,-0.9560017859317733,0.5682414477140488,0.12101192741235645
QTSZ07,0.6424189856377234,0.48477872401517674,0.6305631573134953,0.17832302436114422,0.2993452655897428,-18.78448760770151,0.17961789108104503,-27.806257821505863,0.5850891451233017,-0.5007359329508028,0.5404851463288008,-0.15605058827139162
QTSZ12,0.6149227614132616,0.5253810902706989,0.6497381536450346,0.6884949574022277,0.11268312241592693,-39.19651994025783,0.37538381583952685,-4.369052911422922,0.6271434920372513,0.5564551287100106,0.5893590386676464,0.6011087454140338
BMSZ06,0.599553461927044,0.47740015475098585,0.6183621360705853,0.3392158341567588,0.16906113357799166,-10.751211229481124,0.23062061779193466,-17.911448271947727,0.6085131171779619,0.41793110472509565,0.5186092659949714,0.23280960230740155
MESZ01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RVSZ05,0.5073489004813623,0.31023886562112213,0.5119750494460662,0.26791312899187003,0.16383179607798104,-11.742595468567789,0.2472003312446418,-9.982826939892163,0.5394978542467044,0.4229213699718515,0.4915415328872042,0.24418054962381586
SRSZ01,0.6543422577254657,0.47929310081215937,0.6889478582979033,0.34945951983846535,0.07337923612108396,-36.37688445986122,0.3073609226150831,-10.00643603208682,0.6602035259614655,0.17272799913639492,0.6204785235920167,0.24894595125682817
WISZ01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WISZ03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WISZ02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SISZ02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SISZ01,0.15308903834991078,0.15744290585384846,0.11975612819586265,-0.20156610187273727,0.005959922336430326,-8.36094368898369,0.10894147187349325,-1.5668902570698058,0.08099668424374064,-0.045999114332791136,0.08720452720854084,-0.09877888499636289
BMSZ17,0.4773103745894508,0.24005460909979348,0.5302441770685242,0.5138879871340227,0.20770143105971917,-7.2848483346871955,0.17549016187328353,-6.4173749797098685,0.5139570763950168,0.32650720817313383,0.4764539789651865,0.3655496655003124
